"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"714275806235611136","","","2016-03-28 02:19:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","if you say ""i don't understand"" or ""i don't know"", you're inviting someone to start explaining to you","","","",""
"713446102473662464","","","2016-03-25 19:23:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I'm rooting for you","","","",""
"712424716103909377","","","2016-03-22 23:44:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""That was their intention""","","","",""
"712073126088060928","","","2016-03-22 00:27:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are each lost within our own mind","","","",""
"710938363134476288","","","2016-03-18 21:18:09 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just living life, or a life worth living","","","",""
"710636259916394496","","","2016-03-18 01:17:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","when things aren't going your way, are you going to complain or work harder?","","","",""
"709843644140761088","","","2016-03-15 20:48:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Some of us are just born contrary","","","",""
"709455451218268160","","","2016-03-14 19:05:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good genes, healthy living","","","",""
"708914789058129921","","","2016-03-13 07:17:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It's easier to question decisions when you're not the one making them","","","",""
"708566435581132802","","","2016-03-12 08:12:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","the more stress in your life, the less productive you become","","","",""
"708195601272299521","","","2016-03-11 07:39:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Its too bad she won't live... but then again, who does""","","","",""
"707725766943846400","","","2016-03-10 00:32:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You are who you let yourself be","","","",""
